,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
0,,75990,[],CHEMBL658343,Inhibitory concentration against human recombinant Cathepsin S expressed in baculovirus,B,BAO_0000190,BAO_0000019,assay format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](C#N)c2ccccc2,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '20.34', 'le': '0.38', 'lle': '5.47', 'sei': '7.72'}",CHEMBL347745,,CHEMBL347745,7.29,False,http://www.openphacts.org/units/Nanomolar,296621,=,1,True,=,,IC50,nM,,51,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,nM,UO_0000065,,51
1,,75991,[],CHEMBL658345,Equilibrium dissociation constant determined using fluorescence based competitive binding assay towards Cathepsin S,B,BAO_0000034,BAO_0000357,single protein format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](C#N)c2ccccc2,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '23.43', 'le': '0.44', 'lle': '6.58', 'sei': '8.89'}",CHEMBL347745,,CHEMBL347745,8.4,False,http://www.openphacts.org/units/Nanomolar,296621,=,1,True,=,,Kd,nM,,4,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,Kd,nM,UO_0000065,,4
2,,75993,[],CHEMBL658343,Inhibitory concentration against human recombinant Cathepsin S expressed in baculovirus,B,BAO_0000190,BAO_0000019,assay format,O=C(N[C@H](C#N)c1ccccc1)[C@H](CC2CCCCC2)NC(=O)N3CCOCC3,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '20.19', 'le': '0.38', 'lle': '5.3', 'sei': '8.52'}",CHEMBL435440,,CHEMBL435440,8.05,False,http://www.openphacts.org/units/Nanomolar,296592,=,1,True,=,,IC50,nM,,9,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,nM,UO_0000065,,9
3,,75994,[],CHEMBL658345,Equilibrium dissociation constant determined using fluorescence based competitive binding assay towards Cathepsin S,B,BAO_0000034,BAO_0000357,single protein format,O=C(N[C@H](C#N)c1ccccc1)[C@H](CC2CCCCC2)NC(=O)N3CCOCC3,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '22.58', 'le': '0.42', 'lle': '6.25', 'sei': '9.53'}",CHEMBL435440,,CHEMBL435440,9,False,http://www.openphacts.org/units/Nanomolar,296592,=,1,True,=,,Kd,nM,,1,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,Kd,nM,UO_0000065,,1
4,,75996,[],CHEMBL658343,Inhibitory concentration against human recombinant Cathepsin S expressed in baculovirus,B,BAO_0000190,BAO_0000019,assay format,CC(C)C[C@@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](CCc2ccccc2)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '12.83', 'le': '0.24', 'lle': '2.88', 'sei': '5.25'}",CHEMBL151641,,CHEMBL151641,4.96,False,http://www.openphacts.org/units/Nanomolar,296614,=,1,True,=,,IC50,nM,,11000,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,nM,UO_0000065,,11000
5,Not Determined,75997,[],CHEMBL658349,Equilibrium dissociation constant for Cathepsin S; ND is Not Determined,B,BAO_0000034,BAO_0000357,single protein format,CC(C)C[C@@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](CCc2ccccc2)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,,CHEMBL151641,,CHEMBL151641,,False,,296614,,1,False,,,Kd,,,,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,Kd,,,,
6,,77072,[],CHEMBL658343,Inhibitory concentration against human recombinant Cathepsin S expressed in baculovirus,B,BAO_0000190,BAO_0000019,assay format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](CCc2ccccc2)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '18.96', 'le': '0.36', 'lle': '5.25', 'sei': '7.76'}",CHEMBL153678,,CHEMBL153678,7.33,False,http://www.openphacts.org/units/Nanomolar,296583,=,1,True,=,,IC50,nM,,47,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,nM,UO_0000065,,47
7,,77073,[],CHEMBL658345,Equilibrium dissociation constant determined using fluorescence based competitive binding assay towards Cathepsin S,B,BAO_0000034,BAO_0000357,single protein format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](CCc2ccccc2)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '21.1', 'le': '0.4', 'lle': '6.07', 'sei': '8.63'}",CHEMBL153678,,CHEMBL153678,8.15,False,http://www.openphacts.org/units/Nanomolar,296583,=,1,True,=,,Kd,nM,,7,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,Kd,nM,UO_0000065,,7
8,,77075,[],CHEMBL658343,Inhibitory concentration against human recombinant Cathepsin S expressed in baculovirus,B,BAO_0000190,BAO_0000019,assay format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](Cc2ccc(Cl)c(Cl)c2)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '16.43', 'le': '0.34', 'lle': '4.25', 'sei': '7.68'}",CHEMBL153319,,CHEMBL153319,7.25,False,http://www.openphacts.org/units/Nanomolar,296608,=,1,True,=,,IC50,nM,,56,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,IC50,nM,UO_0000065,,56
9,,77076,[],CHEMBL658345,Equilibrium dissociation constant determined using fluorescence based competitive binding assay towards Cathepsin S,B,BAO_0000034,BAO_0000357,single protein format,CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](Cc2ccc(Cl)c(Cl)c2)C#N,,,CHEMBL1135569,J. Med. Chem.,2002,"{'bei': '18.48', 'le': '0.38', 'lle': '5.15', 'sei': '8.63'}",CHEMBL153319,,CHEMBL153319,8.15,False,http://www.openphacts.org/units/Nanomolar,296608,=,1,True,=,,Kd,nM,,7,CHEMBL2954,Homo sapiens,Cathepsin S,9606,,,Kd,nM,UO_0000065,,7
