Cmpd_ID,SMILES,Affinity
CatS_1,CC(C)N1CCN(CC1)C(=O)CSc2cc(ccc2C(F)(F)F)c3c4c(n(n3)CCCN5CCC(CC5)N6CCCC6=O)CCN(C4)S(=O)(=O)C,1.23
CatS_2,CS(=O)(=O)N1CCc2c(c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(c5)CNC(=O)Cc6ccccn6)C(F)(F)F)C1,3.42
CatS_3,CS(=O)(=O)N1CCc2c(c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(c5)SCCN6CCC(CC6)C(F)(F)F)C(F)(F)F)C1,0.31
CatS_4,CS(=O)(=O)N1CCc2c(c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(c5)SCCN6CCC(CC6)(F)F)C(F)(F)F)C1,0.07
CatS_5,CS(=O)(=O)N1CCc2c(c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(c5)SCCN6CCCC(C6)(F)F)C(F)(F)F)C1,0.12
CatS_6,COC1CCN(CC1)CCSc2cc(ccc2C(F)(F)F)c3c4c(n(n3)CCCN5CCC(CC5)N6CCCC6=O)CCN(C4)S(=O)(=O)C,0.27
CatS_7,CS(=O)(=O)N1CCc2c(c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(c5)SCCN6CCS(=O)(=O)CC6)C(F)(F)F)C1,0.15
CatS_8,CC1(CCCN(C1)CCSc2cc(ccc2C(F)(F)F)c3c4c(n(n3)CCCN5CCC(CC5)N6CCCC6=O)CCN(C4)S(=O)(=O)C)C,0.14
CatS_9,CC(=O)N1CCN(CC1)CCCn2c3c(c(n2)c4ccc(c(c4)SCCN5CCCCC5)C(F)(F)F)CN(CC3)S(=O)(=O)C,0.61
CatS_10,CS(=O)(=O)N1CCc2c(c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(c5)CCCN6CCC(CC6)(F)F)Cl)C1,0.93
CatS_11,CS(=O)(=O)N1CCc2c(c(nn2CCCN3CCC(CC3)N4CCCC4)c5ccc(c(c5)SCC(=O)N6CCOCC6)C(F)(F)F)C1,0.4
CatS_12,CS(=O)(=O)N1CCc2c(c(nn2CCCN3CCC(CC3)C(F)(F)F)c4ccc(c(c4)SCC(=O)N5CCOCC5)C(F)(F)F)C1,0.23
CatS_13,CC(C)(C)OC(=O)NC1CCN(CC1)CCCn2c3c(c(n2)c4ccc(c(c4)SCC(=O)N5CCOCC5)C(F)(F)F)CN(CC3)S(=O)(=O)C,0.06
CatS_14,CCOC(=O)NC1CCN(CC1)CCSc2cc(ccc2C(F)(F)F)c3c4c(n(n3)CCCN5CCC(CC5)N6CCCC6=O)CCN(C4)S(=O)(=O)C,0.63
CatS_15,CC(=O)NC1CCN(CC1)CCSc2cc(ccc2C(F)(F)F)c3c4c(n(n3)CCCN5CCC(CC5)N6CCCC6=O)CCN(C4)S(=O)(=O)C,1.28
CatS_16,CC(C)(C)OC(=O)NC1CCN(CC1)CCSc2cc(ccc2C(F)(F)F)c3c4c(n(n3)CCCN5CCC(CC5)N6CCCC6=O)CCN(C4)S(=O)(=O)C,0.59
CatS_17,CS(=O)(=O)N1CCc2c(c(nn2CCCN3CCOCC3)c4ccc(c(c4)C#Cc5ccc(cc5)CN6CCCC6)Cl)C1,1.39
CatS_18,CS(=O)(=O)N1CCc2c(c(nn2CCCN3CCOCC3)c4ccc(c(c4)C#Cc5ccc(cc5)CN6CCCCC6)Cl)C1,1.5
CatS_19,CC(C)(C)NCCSc1cc(ccc1C(F)(F)F)c2c3c(n(n2)CCCN4CCC(CC4)N5CCCC5=O)CCN(C3)S(=O)(=O)C,3.09
CatS_20,CC(C)NCCSc1cc(ccc1C(F)(F)F)c2c3c(n(n2)CCCN4CCC(CC4)N5CCCC5=O)CCN(C3)S(=O)(=O)C,1.2
CatS_21,CC(C)CNCCSc1cc(ccc1C(F)(F)F)c2c3c(n(n2)CCCN4CCC(CC4)N5CCCC5=O)CCN(C3)S(=O)(=O)C,0.19
CatS_22,CS(=O)(=O)N1CCc2c(c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(c5)SCCNC6CCCCC6)C(F)(F)F)C1,0.18
CatS_23,CS(=O)(=O)N1CCc2c(c(nn2CCCN3CCC(CC3)N4CCCC4=O)c5ccc(c(c5)SCCNCCCO)C(F)(F)F)C1,0.53
CatS_24,CCOC(=O)NC1CCN(CC1)C(=O)CSc2cc(ccc2C(F)(F)F)c3c4c(n(n3)CCCN5CCC(CC5)N6CCCC6=O)CCN(C4)S(=O)(=O)C,0.06
CatS_25,CC(C)(C)OC(=O)NC1CCN(CC1)C(=O)CSc2cc(ccc2C(F)(F)F)c3c4c(n(n3)CCCN5CCC(CC5)N6CCCC6=O)CCN(C4)S(=O)(=O)C,0.075
CatS_26,CS(=O)(=O)N1CCc2c(c(nn2CCCN3CCCCC3)c4ccc(c(c4)SCC(=O)N5CCOCC5)C(F)(F)F)C1,0.47
