Cmpd_ID,MolLogP,HeavyAtomCount,HeavyAtomMolWt,HAccept,Heteroatoms,HDonor,MolWt,MolMR,RotableBonds,RingCount,Ipc,HallKierAlpha,NumValenceElectrons,SaturatedRings,AliphaticRings,AromaticRings,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxAbsPartialCharge,MaxPartialCharge,MinAbsPartialCharge,MinPartialCharge,BalabanJ,BertzCT,Kappa1,Kappa2,Kappa3,Chi0,Chi1,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,NHOHCount,NOCount,FractionCSP3,LabuteASA,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,Affinity,pIC50
CatS_1,4.0082,51,703.558,9,16,0,753.958,190.6618,11,6,1.85E+11,-2.66,282,3,4,2,1,1.725490196,2.352941176,0.41698702,0.41698702,0.339606603,-0.339606603,1.179226087,1684.212263,38.0765096,15.74985855,8.939014061,36.50106027,24.18471032,29.82855174,18.10492504,14.46847319,10.82896626,7.861558489,31.4615449,20.93883522,17.46808785,13.1187314,9.659221993,0,11,0.685714286,303.0636058,14.69972919,19.17078703,8.417796984,22.57514294,11.76188495,6.066367068,58.20825143,112.0892034,23.26600228,0,0,21.83765061,0,6.176298517,31.1781165,0,33.68533966,0,88.6173806,70.91143044,35.01993218,11.25737949,33.59953556,0,136.9126082,45.29899847,0,62.77241349,23.09458468,0,11.25737949,13.17124514,0,11.76188495,21.76304116,29.00745295,67.92518151,94.72977412,16.43795013,4.899909731,9.581712666,23.64729386,5.098681808,31.1781165,0,71.09318827,33.70422505,4.918962057,1.740455103,-0.04157708,4.592833583,1.324890538,11.28990816,-3.508451197,0.885565515,1.23,5.910094889
CatS_2,3.6174,49,659.48,8,15,1,701.816,176.4365,11,6,83309648890,-3.82,264,2,3,3,1.040816327,1.836734694,2.510204082,0.41624238,0.41624238,0.351672014,-0.351672014,1.19537698,1773.681428,35.02162841,14.57425436,8.323099239,34.7605733,23.36334311,27.58382032,16.79184946,13.10486357,9.748017362,7.207144414,28.4003169,18.64016108,15.08730154,10.99772579,7.993685036,1,11,0.529411765,284.0636113,15.11660807,19.25485582,8.417796984,22.57514294,0,12.13273414,62.05696266,93.40838146,23.93397029,0,0,21.83765061,0,6.176298517,31.1781165,0,34.18628732,0,76.79815992,38.97955121,70.67325645,11.25737949,21.83765061,5.316788604,94.1230472,58.2645765,0,60.18231858,42.59504598,0,11.25737949,13.17124514,0,0,27.67022089,30.98096566,54.48775586,69.87837636,16.43795013,24.39594478,9.581712666,15.20067686,5.098681808,31.1781165,0,70.53235284,33.31651953,7.470310302,1.944689341,-0.199892641,9.176563019,2.682254212,4.095727605,-3.518524212,0,3.42,5.465973894
CatS_3,5.7299,51,718.535,8,17,0,764.903,182.5918,11,6,1.58E+11,-2.34,284,3,4,2,0.882352941,1.568627451,2.196078431,0.416986807,0.416986807,0.339606603,-0.339606603,1.156519163,1650.397842,38.386529,15.56054328,9.247055055,36.55346652,24.07466798,28.81409005,17.76663194,14.17528329,10.79612281,7.911660569,30.44708321,20.60054212,17.2944711,13.08129814,9.817171668,0,9,0.705882353,299.2739141,14.69972919,9.476340119,8.417796984,35.74638809,11.76188495,6.066367068,70.29193309,92.16594698,23.43105472,0,0,15.93047088,0,12.35259703,39.55482445,0,28.78542993,5.917906046,87.74600713,64.36667404,35.01993218,11.25737949,27.69235583,0,119.69522,40.50446129,5.917906046,61.76658234,23.09458468,0,11.25737949,26.34249029,0,11.76188495,33.85724573,55.57618568,48.79382787,81.64026131,16.43795013,0,14.4816224,4.899909731,5.098681808,39.55482445,0,110.0032062,18.46848119,4.889336972,1.688986562,-0.822327255,4.187777045,-3.075983568,5.253799989,-3.527572227,1.01762839,0.31,6.508638306
CatS_4,5.1867,49,687.526,8,16,0,732.886,177.9938,11,6,65480674579,-2.27,272,3,4,2,0.959183673,1.673469388,2.326530612,0.416986807,0.416986807,0.339606603,-0.339606603,1.170985235,1600.091488,36.51852492,14.76109227,8.792421873,34.97611625,23.17660304,27.85877531,17.17958477,13.7153481,10.33321511,7.531546664,29.49176847,20.01349494,16.83453591,12.61839044,9.437057763,0,9,0.696969697,288.7434366,14.69972919,9.476340119,17.19862708,22.57514294,11.76188495,6.066367068,44.36077703,118.097103,17.51314867,0,0,15.93047088,5.922529168,6.176298517,35.16440941,0,28.78542993,0,87.49223779,64.36667404,35.01993218,11.25737949,27.69235583,0,119.4414507,40.50446129,0,61.76658234,23.09458468,0,11.25737949,21.95207524,0,11.76188495,27.68557033,43.27857567,61.09143788,81.64026131,16.43795013,0,14.4816224,4.899909731,5.098681808,35.16440941,0,97.75541924,18.50364209,4.896919661,1.80140329,-2.125101106,4.260290896,0.808326422,5.310907194,-3.507708904,1.045901215,0.07,7.15490196
CatS_5,5.1867,49,687.526,8,16,0,732.886,177.9938,11,6,63475783230,-2.27,272,3,4,2,0.979591837,1.755102041,2.428571429,0.416986807,0.416986807,0.339606603,-0.339606603,1.179787808,1610.091488,36.51852492,14.76109227,8.792421873,34.97611625,23.17660304,27.85877531,17.17958477,13.75340857,10.21744525,7.665177285,29.49176847,20.01349494,16.87259638,12.50262058,9.570688384,0,9,0.696969697,288.7434366,9.799819462,14.37624985,17.19862708,22.57514294,11.76188495,6.066367068,57.32635506,98.5867686,24.05790508,0,0,15.93047088,5.922529168,6.176298517,35.16440941,0,28.78542993,0,87.49223779,64.36667404,35.01993218,11.25737949,27.69235583,0,119.4414507,40.50446129,0,61.76658234,23.09458468,0,11.25737949,21.95207524,0,11.76188495,34.23032674,36.06585125,61.75940589,81.64026131,16.43795013,4.899909731,9.581712666,4.899909731,5.098681808,35.16440941,0,98.37498654,18.19845471,4.886976818,1.712077499,-2.317316876,4.194284719,1.427639097,4.799315146,-3.515168926,0.988751272,0.12,6.920818754
CatS_6,4.5664,49,677.54,9,15,0,726.932,183.8438,12,6,86862429601,-2.17,272,3,4,2,0.959183673,1.673469388,2.326530612,0.416986807,0.416986807,0.381358895,-0.381358895,1.16645991,1569.946398,36.6152037,15.6036309,8.834269755,34.7605733,23.40134791,28.58844492,17.55496064,13.79445804,10.61357322,7.796345805,30.22143809,20.38887082,16.91364585,12.89874855,9.701856904,0,10,0.705882353,291.8908532,19.43659215,9.476340119,8.417796984,22.57514294,11.76188495,6.066367068,57.20242028,112.3652573,23.61711506,0,0,15.93047088,0,6.176298517,31.12044227,0,28.78542993,0,87.67367501,71.47647158,35.01993218,11.25737949,27.69235583,0,126.7326854,45.24132424,0,61.76658234,23.09458468,0,11.25737949,13.17124514,0,11.76188495,21.76304116,23.451386,55.52798639,95.11721473,28.38923719,13.17616461,4.681802935,14.69972919,9.835544762,26.38357931,0,76.41070914,19.11855859,4.957656016,2.180027628,0.799846701,4.546169073,3.690058323,7.174067513,-1.75256924,1.208809589,0.27,6.568636236
CatS_7,3.186,49,701.584,10,17,0,746.944,182.4666,11,6,65480674579,-2.18,272,3,4,2,0.959183673,1.673469388,2.326530612,0.416986807,0.416986807,0.339606603,-0.339606603,1.175080044,1728.597233,36.60553527,14.81582802,8.83008126,34.97611625,23.17660304,27.82759124,17.00519711,13.51121538,10.1826731,7.40160577,30.27708098,21.6604745,18.93403987,14.07701374,10.58398008,0,11,0.6875,290.6728221,14.69972919,9.476340119,16.83559397,22.57514294,11.76188495,6.066367068,44.36077703,105.2554598,29.01885588,0,9.837253136,15.93047088,0,6.176298517,34.8013763,0,28.78542993,0,68.72806537,75.87238125,35.01993218,11.25737949,37.52960897,0,133.4424257,50.34171443,0,48.92493909,23.09458468,0,11.25737949,13.17124514,0,11.76188495,31.6002943,28.85312682,68.6174992,87.2037128,16.43795013,0,14.4816224,4.899909731,5.098681808,34.8013763,0,94.2394738,18.65069179,4.911068795,1.888350087,0.728675868,4.326280572,1.379082597,5.761760043,-6.552670822,1.083953936,0.15,6.823908741
CatS_8,5.5776,49,673.552,8,14,0,724.96,186.8278,11,6,63475783230,-2.13,272,3,4,2,0.979591837,1.755102041,2.428571429,0.416986807,0.416986807,0.339606603,-0.339606603,1.179787808,1603.886341,36.65387866,14.84626463,8.851031965,34.97611625,23.17660304,29.10284636,17.80162029,15.06167108,10.72516792,8.163282799,30.73583953,20.63553047,18.18085889,13.01034325,10.0687939,0,9,0.714285714,293.1422501,14.69972919,9.476340119,8.417796984,22.57514294,11.76188495,19.91384147,69.16216716,98.71070338,17.51314867,0,0,15.93047088,0,6.176298517,26.38357931,0,28.78542993,5.414990469,95.41718302,64.36667404,35.01993218,11.25737949,27.69235583,0,113.5189215,40.50446129,5.414990469,75.61405674,23.09458468,0,11.25737949,13.17124514,0,11.76188495,21.76304116,22.76241008,48.98322998,101.6619711,28.38923719,6.066367068,4.681802935,28.54720359,5.098681808,26.38357931,0,71.10505955,19.22737239,4.970310152,2.445590685,0.828957612,4.591606421,3.904255868,11.90503369,-3.461835593,1.233649231,0.14,6.853871964
CatS_9,4.0188,44,613.497,8,14,0,656.841,165.9488,10,5,5308656833,-2.13,244,2,3,2,0.954545455,1.659090909,2.318181818,0.416986807,0.416986807,0.340374386,-0.340374386,1.370129118,1417.704227,33.23952095,14.10397114,8.16944195,31.48455242,20.89701662,25.61128253,15.48249242,12.00426339,8.904057106,6.387385719,27.24427569,18.3164026,15.1234512,11.18923244,8.292896818,0,9,0.666666667,262.3233706,9.799819462,14.37624985,8.417796984,22.57514294,11.76188495,12.48718869,44.48471182,99.71653454,17.51314867,0,0,15.93047088,0,6.176298517,26.38357931,0,28.78542993,0,63.18914012,70.91143044,35.01993218,11.25737949,27.69235583,0,114.0218371,40.50446129,0,49.42785467,23.09458468,0,11.25737949,13.17124514,0,11.76188495,21.76304116,17.34741961,49.61008034,75.85474986,34.81005882,12.99010427,9.581712666,9.799819462,5.098681808,26.38357931,0,70.3700126,18.31411538,4.908193106,2.181763155,0.650035048,4.199140195,1.469163938,9.303202323,-3.453331179,1.224372105,0.61,6.214670165
CatS_10,4.6618,46,633.918,7,13,0,681.294,175.5988,11,6,21280846722,-2.12,254,3,4,2,0.956521739,1.673913043,2.369565217,0.339606603,0.250136753,0.250136753,-0.339606603,1.116263073,1500.736546,33.76865614,14.15961336,7.941129629,32.47611625,21.96527818,26.90170485,16.9123744,13.56793084,10.3472956,7.630341268,28.47413038,19.1386505,15.95756895,11.96573175,8.62892156,0,9,0.696969697,276.4269866,14.69972919,9.476340119,17.19862708,9.4038978,0,17.66730696,69.31062818,105.9266429,11.94969718,0,0,15.93047088,5.922529168,0,21.99316426,0,28.78542993,0,89.26209904,58.61382043,40.0425655,11.25737949,27.53141077,0,113.6885971,40.7489844,0,68.18740396,18.19910121,5.022633314,11.25737949,8.780830095,0,11.60093989,15.94582032,12.84164325,55.99232274,105.8716786,10.56098517,0,12.13273414,25.4478992,16.6996217,21.99316426,0,55.75923714,18.85712733,5.746847396,4.755537055,-2.233174783,6.288064107,7.91510105,6.925993849,-3.356584954,6.619629578,0.93,6.031517051
