,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
MolLogP,0.0824709821566316,0.08868930445350519,-0.08718472571639714,0.12691580059458105,-0.2604074804017022,-0.04184946908338108,-0.005046457851260303,0.17698188871452677,-0.07121153035618821,0.10892700662618295,0.03580387472964636,0.010812020846756134,-0.009541369762598345,-0.011003109875303093,0.04247283168209634,-0.03977792668654574,-0.10220646010211615,0.019354836368134995,0.10270466126848554,-0.1030392439961322
HeavyAtomCount,0.04658318868890654,0.20241040944660926,0.06048938706518109,-0.04648759894324876,0.005102700615756295,0.0214715022237095,0.0060066725157024905,0.025581553002222153,0.011936254084140433,0.038246126159102424,0.04699161206091873,-0.02841961207832153,-0.008819301586031161,0.008281749738963642,0.00972420141096002,0.009440213165247097,0.008173975966480054,-0.015611428489793152,-0.01589094615466246,-0.032762580570653385
HeavyAtomMolWt,0.018042407476738687,0.2043433346969299,0.043618366181032486,-0.09104734082894861,-0.0030717543582442497,-0.07767916465441313,-0.03798018718960682,0.03895390693946614,0.025211380378573872,-0.00573900476637125,0.0006683181232244005,0.0010024591668534684,0.0032709540154838863,-0.027244016607823888,0.026760239214281417,-0.04067507010662563,-0.03452649267397527,-0.024698664914225177,-0.00689617686961988,-0.02982583202302576
HAccept,-0.11998697257936985,0.0695052377466141,0.05622610164383968,-0.18698943734770768,0.11296485447553767,0.06943679563089251,0.05535206815651745,-0.12436777281160441,0.017716234299286912,-0.10210091885582996,-0.04438384859197104,0.09643380953608482,0.007900385881816348,-0.016719072981093857,0.03362858123371001,-0.04494944919922447,0.0752176862391699,-0.04939254339247952,0.07141334698527002,0.08158727660048917
Heteroatoms,-0.1467505616649446,0.08543123087927607,0.060333748660279074,-0.111376569981043,0.04420789337832946,-0.0882809752926682,-0.05903596291467741,0.006971588340391022,-0.0013801947149547356,-0.0033513862827863894,-0.03173788891575971,-0.02728877526868627,0.042857583896570156,-0.02562916465233212,0.046991308033923804,-0.01882163172997843,0.02904984469341501,-0.010176698419597566,-0.03698170454164093,0.004426315231321837
HDonor,0.006003426381891571,-0.009203054301962187,0.2526129419819292,0.005119689878642947,-0.10078160107320511,-0.03385284070852597,0.06296837373983692,-0.3736667555836236,0.159781665844568,-0.0029625598365203842,-0.07286911364532583,-0.029756997414768675,0.006921087419067891,0.026166782578525654,-0.10153252509150194,0.06573665122519155,-0.024934131161672257,0.03963817491890421,-0.006086529714183164,0.001385550542723768
MolWt,0.013011178445762125,0.20846432937991682,0.038440339602425266,-0.07260954211636461,0.00010576869321618498,-0.06945588758600471,-0.021016834958684786,0.029792638355569,0.01575423273600246,-0.005442587466377894,0.00015376139907803937,0.01086225574042551,-0.000891001998860717,-0.021758146970861567,0.01976511188322809,-0.03055745044148355,-0.0365296080526796,-0.018804245065244876,0.002789407366651536,-0.02740413583231613
MolMR,0.11736478814382673,0.1601629964812973,0.02213119311362817,-0.009043864568762716,-0.008702323478477103,0.007051397552304391,0.012846554394036903,-0.0057998745525079665,-0.008782750593950672,0.003923813189020825,-0.022549827356211645,0.05889392815300996,-0.01015036001479216,-0.00029592349740338326,0.01982094520417525,0.013438473954454768,-0.01598447544330324,-0.018182711534256043,0.031071726759689708,0.005539676425497159
RotableBonds,-0.061789777969182405,0.10362336972353078,-0.037024908932566325,-0.06984533782102001,-0.1475684113531458,-0.06957043238455096,0.03954942197965829,-0.3050432920580958,-0.24444245970093603,-0.0026813193777646682,-0.06711399779769109,-0.020689012741109382,-0.09938381534562694,-0.015361770217560113,-0.037419149728443624,-0.02704126727929612,0.1448535553359423,0.023908343856992885,0.20190222398078686,-0.20626541592362335
RingCount,0.10917805890360426,0.09550853042174079,-0.0507169806646787,0.024843948022165323,0.034378823280113935,0.25171114296368635,-0.15664891142332923,0.033212019392797,0.1892794574128076,-0.03557272715004137,0.020556087155937146,-0.11947509192695502,0.003495527788930662,0.0016698392090887214,0.00371504183227174,-0.016212814021296068,-0.04462373550529694,-0.07208606691479555,-0.024075716179137924,-0.06369151191718402
