,smiles,IC50,pchembl,type,ID
875,CN(C)CCSc1cc(ccc1C(F)(F)F)c2nn(CCCN3CCC(CC3)N4CCCC4=O)c5CCN(Cc25)S(=O)(=O)C,1280.0,5.89,IC50,CHEMBL1076795
895,CN(C)c1ccc(cc1)C(=O)NCCSc2cc(ccc2C(F)(F)F)c3nn(CC(O)CN4CCC(CC4)N5CCCC5=O)c6CCN(Cc36)S(=O)(=O)C,530.0,6.28,IC50,CHEMBL1076796
850,CCCc1cc(nc(n1)C#N)c2cccc(c2)C(C)(C)C,191.0,6.72,IC50,CHEMBL1077193
857,CCCc1cc(nc(n1)C#N)C2CCCCCCC2,2239.0,5.65,IC50,CHEMBL1077194
865,N[C@@H](Cc1cccs1)C(=O)N[C@@]2(C[C@@H]2c3ccccc3)C#N,5900.0,5.23,IC50,CHEMBL1078411
1192,CCCc1cc(nc(n1)C#N)c2cccc(c2)C(F)(F)F,41.0,7.39,IC50,CHEMBL1079000
847,CCCc1cc(nc(n1)C#N)c2ccc(cc2)C(F)(F)F,1259.0,5.9,IC50,CHEMBL1079099
848,CCCc1cc(nc(n1)C#N)c2ccc(Cl)c(c2)C(F)(F)F,28.0,7.55,IC50,CHEMBL1079100
849,CCCc1cc(nc(n1)C#N)c2cccc(c2Cl)C(F)(F)F,1047.0,5.98,IC50,CHEMBL1079101
851,CCCc1cc(nc(n1)C#N)c2cccc(c2)C3CCCC3,155.0,6.81,IC50,CHEMBL1082857
1155,CCCc1cc(nc(n1)C#N)c2cccc(c2)S(=O)(=O)C,93.0,7.03,IC50,CHEMBL1082858
853,CCCc1cc(nc(n1)C#N)c2cccc(C)c2,1300.0,5.89,IC50,CHEMBL1082859
854,CCCc1cc(nc(n1)C#N)c2cccc(c2)C#N,191.0,6.72,IC50,CHEMBL1082860
1045,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)N3CCOCC3,4.4,8.36,IC50,CHEMBL1083318
1071,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3oc(Br)cc3,2.3,8.64,IC50,CHEMBL1083620
1051,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3cc(SC)ccc3Cl,3.6,8.44,IC50,CHEMBL1083919
1054,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)Cc3cccs3,7.2,8.14,IC50,CHEMBL1083923
1056,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)C3(C)CC3,3.4,8.47,IC50,CHEMBL1083930
859,FC(F)(F)c1cccc(c1)c2cc(CCCN3CCCCC3)nc(n2)C#N,23.0,7.64,IC50,CHEMBL1084400
860,CCC(CC)NCCCc1cc(nc(n1)C#N)c2cccc(c2)C(F)(F)F,47.0,7.33,IC50,CHEMBL1084401
861,CC(C)(C)NCCCc1cc(nc(n1)C#N)c2cccc(c2)C(F)(F)F,20.0,7.7,IC50,CHEMBL1084402
863,N#Cc1nc(NC2CCCCC2)nc(n1)N3CCNCC3,158.0,6.8,IC50,CHEMBL1084679
856,CCCc1cc(nc(n1)C#N)C2CCCCCC2,1300.0,5.89,IC50,CHEMBL1085423
1049,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3cc(OC)ccc3[N+](=O)[O-],3.1,8.51,IC50,CHEMBL1085726
1047,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3cc(Cl)ccc3[N+](=O)[O-],8.0,8.1,IC50,CHEMBL1085727
1050,CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3ccc(OC(=O)C)cc3,2.0,8.7,IC50,CHEMBL1085728
