ID,pchembl,MolLogP,HeavyAtomCount,HeavyAtomMolWt,HAccept,Heteroatoms,HDonor,MolWt,MolMR,RotableBonds,RingCount,Ipc,HallKierAlpha,NumValenceElectrons,SaturatedRings,AliphaticRings,AromaticRings,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxAbsPartialCharge,MaxPartialCharge,MinAbsPartialCharge,MinPartialCharge,BalabanJ,BertzCT,Kappa1,Kappa2,Kappa3,Chi0,Chi1,Chi0n,Chi1n,Chi2n,Chi3n,Chi4n,Chi0v,Chi1v,Chi2v,Chi3v,Chi4v,NHOHCount,NOCount,FractionCSP3,LabuteASA,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SMR_VSA10,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,EState_VSA10,EState_VSA11,VSA_EState1,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,VSA_EState10,IC50,Binary_value
CHEMBL1076795,5.89,4.0172,44,613.497,8,14,0,656.841,165.9268,11,5,5030645892.0,-2.13,244,2,3,2,1.068181818,1.818181818,2.454545455,0.416986807,0.416986807,0.33960660299999995,-0.33960660299999995,1.338217342,1438.082635,33.23952095,13.697362300000002,7.801786548,31.64768912,20.80770022,25.77441924,15.35648517,12.32103218,8.876620744,6.481238707999999,27.4074124,18.19039535,15.44021999,11.16179607,8.493699289,0,9,0.666666667,262.3233706,14.69972919,9.476340119,8.417796984,22.57514294,11.76188495,6.066367068,58.456121,92.16594698,17.51314867,0.0,0.0,15.93047088,0.0,6.176298517,26.38357931,0.0,28.78542993,0.0,68.72806537,65.37250519,35.01993218,11.25737949,27.69235583,0.0,114.5247527,40.50446129,0.0,48.92493909,23.09458468,0.0,11.25737949,13.17124514,0.0,11.76188495,21.76304116,17.34741961,55.52798639,69.18605867,28.38923719,6.066367068,23.67705663,9.799819462,5.098681808,26.38357931,0.0,69.94375148,18.70246529,4.909145092,2.157809594,0.781445697,4.48135358,1.631891196,5.411176948,0.312774856,1.168186268,1280.0,0
CHEMBL1076796,6.28,3.9224,54,743.579,10,17,2,791.9630000000002,201.8648,13,6,690000000000.0,-3.64,294,2,3,3,1.0555555559999998,1.777777778,2.407407407,0.416986809,0.416986809,0.389856949,-0.389856949,1.175559012,1930.36146,40.0353713,16.61239785,9.410759482000001,38.78551732,25.57855717,30.80952569,18.21760441,14.4331632,10.38000536,7.517968835,32.44251885,21.05151459,17.55235101,12.68673065,9.278118097,2,12,0.540540541,318.251025,25.12304519,14.270877300000002,8.417796984,22.57514294,11.76188495,6.066367068,55.66066728,117.5121287,30.16187146,0.0,0.0,15.93047088,5.907179729,6.176298517,36.28464389,0.0,29.2023088,0.0,68.41121014,70.27241492,64.84885195,11.25737949,39.28692184,10.21669833,126.7425164,40.50446129,0.0,52.86210615,47.36005295,0.0,11.25737949,18.85863142,0.0,11.76188495,27.86700755,54.68356299,41.77068212,74.36206956,16.43795013,16.81453707,36.02789756,10.21669833,5.098681808,36.28464389,0.0,70.81207801,30.94227458,18.82331227,2.652226556,0.051899704000000005,11.01256932,-0.79707043,3.1675424010000004,0.204437512,0.964063397,530.0,0
CHEMBL1077193,6.72,4.2652800000000015,21,258.219,3,3,0,279.387,84.87799999999999,3,2,45564.94733,-2.21,108,0,0,2,1.142857143,1.904761905,2.523809524,0.232497895,0.232497895,0.224007555,-0.224007555,2.51055466,675.5932862000002,15.18403121,6.050538247,3.664640278,15.45781916,9.935201516000001,13.14260569,7.327411635,6.260737039,3.409695347,2.224612766,13.14260569,7.327411635,6.260737039,3.409695347,2.224612766,0,3,0.388888889,126.2399099,0.0,0.0,9.967957042,5.261891555,0.0,52.31487163,29.53199772,11.25737949,5.693927995,6.069221313,0.0,5.824404498,0.0,0.0,0.0,5.261891555,9.967957042,0.0,45.95158251,0.0,47.41361933,17.3266008,0.0,0.0,9.967957042,11.83581209,11.33111287,51.19755441,30.33183534,0.0,11.25737949,0.0,0.0,0.0,0.0,11.23939497,0.0,29.79295073,5.563451492,0.0,18.19910121,55.86486129,5.261891555,0.0,0.0,0.0,8.621433414,9.110464695,4.1500217180000005,0.24732568,12.4119237,1.867573657,8.674590472,0.0,0.0,191.0,0
CHEMBL1077194,5.65,4.12868,19,234.197,3,3,0,257.381,75.80199999999998,3,2,23038.0101,-1.43,102,1,1,1,1.157894737,1.842105263,2.473684211,0.232166765,0.232166765,0.224029972,-0.224029972,2.20515588,439.7975346,13.98920295,7.230703752,4.02289746,13.50178923,9.3300298,11.86030236,7.611216145,5.511598238,3.928593486,2.913822932,11.86030236,7.611216145,5.511598238,3.928593486,2.913822932,0,3,0.6875,115.636753,0.0,0.0,9.967957042,5.261891555,0.0,45.44866694,25.32883194,17.30576204,0.0,6.069221313,0.0,5.824404498,0.0,0.0,0.0,5.261891555,9.967957042,0.0,70.62903785,0.0,23.27862756,6.069221313,0.0,0.0,9.967957042,6.420821622999999,11.33111287,81.42047672,6.066367068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.74231054,24.22949924,44.94575136,0.0,0.0,29.02728262,5.261891555,0.0,0.0,0.0,8.764073602,9.078635204,2.141675406,0.883347742,4.246533132,11.07656473,2.142503515,0.0,0.0,2239.0,0
CHEMBL1078411,5.23,2.18398,22,294.274,4,5,2,311.41,86.2851,5,3,155877.1512,-2.16,112,1,1,2,1.409090909,2.181818182,2.818181818,0.335921636,0.238046526,0.238046526,-0.335921636,1.643100715,692.4490592,14.76380147,5.914587762999999,2.889985559,15.579139499999998,10.64379562,12.0287767,7.206544852,5.629781155,4.046509742,2.691137321,12.84527328,8.086197663,6.662026338,4.945226207,3.455982889,3,4,0.294117647,133.1214789,11.05045608,4.794537184,0.0,5.261891555,11.33678588,36.39820241,23.43070295,17.21587486,12.11106214,5.538925252,0.0,5.907179729,0.0,0.0,4.794537184,5.261891555,5.316788604,5.733667477000001,30.34031537,0.0,58.28523094,6.069221313,17.24396561,11.05045608,17.48794581,11.21535881,11.33111287,22.77932635,47.84463225,0.0,0.0,0.0,0.0,11.33678588,11.58076608,11.82508578,12.84164325,10.44059869,0.0,11.33678588,47.84463225,11.38600992,5.733667477000001,10.05642874,0.0,0.0,13.35127033,14.29091444,6.247137267,-0.203732495,15.3391546,1.144828908,0.0,0.0,1.580426947,5900.0,0
CHEMBL1079000,7.39,3.986580000000001,21,279.18,3,6,0,291.276,71.18,3,2,45564.94733,-2.42,108,0,0,2,1.19047619,1.952380952,2.571428571,0.41593218,0.41593218,0.224007555,-0.224007555,2.51055466,687.2936897999998,14.97814657,5.916481001,3.568648714,15.45781916,9.935201516000001,11.27649911,6.394358344,4.508496108,2.870996779,1.934429242,11.27649911,6.394358344,4.508496108,2.870996779,1.934429242,0,3,0.266666667,119.6416897,0.0,0.0,9.967957042,18.4331367,0.0,25.47729296,24.61992283,11.25737949,11.25737949,6.069221313,0.0,5.824404498,0.0,6.176298517,13.17124514,5.261891555,9.967957042,0.0,25.94167896,0.0,47.41361933,17.3266008,0.0,0.0,9.967957042,12.59712014,11.33111287,30.42634281,30.33183534,0.0,11.25737949,13.17124514,0.0,0.0,11.73975001,5.824404498,23.3721291,18.55355576,12.13273414,6.066367068,12.99295851,9.967957042,5.261891555,13.17124514,0.0,38.23199824,8.031864253,8.930464695,0.558149277,-0.03392432,8.352354537,-2.944026124,1.956452779,0.0,0.0,41.0,1
CHEMBL1079099,5.9,3.986580000000001,21,279.18,3,6,0,291.276,71.18,3,2,45734.2826,-2.42,108,0,0,2,1.142857143,1.80952381,2.333333333,0.415910235,0.415910235,0.224007555,-0.224007555,2.4155622780000003,670.0436897999998,14.97814657,5.916481001,3.568648714,15.45781916,9.935201516000001,11.27649911,6.394358344,4.505041783999999,2.893325878,1.909551342,11.27649911,6.394358344,4.505041783999999,2.893325878,1.909551342,0,3,0.266666667,119.6416897,0.0,0.0,9.967957042,18.4331367,0.0,25.47729296,24.61992283,11.25737949,11.25737949,6.069221313,0.0,5.824404498,0.0,6.176298517,13.17124514,5.261891555,9.967957042,0.0,25.94167896,0.0,47.41361933,17.3266008,0.0,0.0,9.967957042,12.59712014,11.33111287,30.42634281,30.33183534,0.0,11.25737949,13.17124514,0.0,0.0,11.73975001,5.824404498,23.3721291,18.55355576,12.13273414,6.066367068,12.99295851,9.967957042,5.261891555,13.17124514,0.0,37.6096486,8.114492788,8.928642836,0.978259178,0.023933256,8.27507283,-2.824845714,1.978129564,0.0,0.0,1259.0,0
CHEMBL1079100,7.55,4.63998,22,314.633,3,7,0,325.721,76.19,3,2,65256.75546,-2.13,114,0,0,2,1.227272727,1.954545455,2.545454545,0.417364808,0.417364808,0.224007555,-0.224007555,2.567618005,735.7881356,16.2441417,6.323357649,3.546207202,16.32806265,10.34588512,11.57711332,6.500007247,4.622316982,2.952859915,1.981417917,12.33304226,6.87797172,5.029517109,3.282448136,2.206109325,0,3,0.266666667,129.94495600000002,0.0,0.0,9.967957042,18.4331367,0.0,31.01186578,24.61992283,11.25737949,16.280012799999998,6.069221313,0.0,5.824404498,0.0,6.176298517,13.17124514,5.261891555,9.967957042,0.0,25.94167896,0.0,46.36988557,17.3266008,11.60093989,0.0,9.967957042,12.59712014,11.33111287,30.42634281,24.26546827,5.022633314,11.25737949,13.17124514,0.0,11.60093989,11.73975001,22.1044173,12.11474962,12.48718869,12.13273414,6.066367068,12.99295851,9.967957042,16.86283144,13.17124514,0.0,38.7611649,8.009938687,8.578093296,0.206973603,-0.065316043,6.959972465,-3.134832023,1.942338913,0.0,5.60277731,28.0,1
CHEMBL1079101,5.98,4.63998,22,314.633,3,7,0,325.721,76.19,3,2,66053.09608999999,-2.13,114,0,0,2,1.272727273,2.0,2.590909091,0.417365537,0.417365537,0.224007542,-0.224007542,2.619198319,735.7881356,16.2441417,6.323357649,3.366089324,16.32806265,10.36272187,11.57711332,6.505990312000001,4.594807444,2.96540744,2.018402324,12.33304226,6.883954785,4.972771917,3.372607566,2.348345524,0,3,0.266666667,129.94495600000002,0.0,0.0,9.967957042,18.4331367,0.0,37.07823285,18.55355576,11.25737949,16.280012799999998,6.069221313,0.0,5.824404498,0.0,6.176298517,13.17124514,5.261891555,9.967957042,0.0,25.94167896,0.0,46.36988557,17.3266008,11.60093989,0.0,9.967957042,12.59712014,11.33111287,30.42634281,24.26546827,5.022633314,11.25737949,13.17124514,0.0,11.60093989,16.76238332,17.08178398,12.11474962,12.48718869,12.13273414,6.066367068,12.99295851,9.967957042,16.86283144,13.17124514,0.0,38.7611649,7.994836664,8.53626118,0.011297425,-0.088492221,6.9846995860000005,-3.163833144,1.935598013,0.0,5.889578705,1047.0,0
CHEMBL1082857,6.81,4.625380000000002,22,270.23,3,3,0,291.398,87.387,4,3,195045.3553,-2.21,112,1,1,2,1.181818182,2.0,2.727272727,0.232497895,0.232497895,0.224007555,-0.224007555,1.975012403,694.0667507000002,14.71583447,6.700969942,3.167593638,15.36359655,10.7963563,13.04838309,8.18258335,6.036775713,4.394302441000002,3.290656787,13.04838309,8.18258335,6.036775713,4.394302441000002,3.290656787,0,3,0.421052632,131.59902079999998,0.0,0.0,9.967957042,5.261891555,0.0,44.38530327,42.87655654,11.25737949,5.693927995,6.069221313,0.0,5.824404498,0.0,0.0,0.0,5.261891555,9.967957042,0.0,51.36657298,0.0,47.41361933,17.3266008,0.0,0.0,9.967957042,6.420821622999999,11.33111287,62.02753535,30.33183534,0.0,11.25737949,0.0,0.0,0.0,0.0,5.824404498,5.9179060460000015,29.79295073,31.24673798,0.0,6.066367068,47.22638383,5.261891555,0.0,0.0,0.0,8.694691515,9.153816054,4.328685988,0.957922336,12.76441634,7.1475457539999985,2.119588684,0.0,0.0,155.0,0
