smiles,IC50
CN(C)CCSc1cc(ccc1C(F)(F)F)c2nn(CCCN3CCC(CC3)N4CCCC4=O)c5CCN(Cc25)S(=O)(=O)C,1280
CN(C)c1ccc(cc1)C(=O)NCCSc2cc(ccc2C(F)(F)F)c3nn(CC(O)CN4CCC(CC4)N5CCCC5=O)c6CCN(Cc36)S(=O)(=O)C,530
CCCc1cc(nc(n1)C#N)c2cccc(c2)C(C)(C)C,191
CCCc1cc(nc(n1)C#N)C2CCCCCCC2,2239
N[C@@H](Cc1cccs1)C(=O)N[C@@]2(C[C@@H]2c3ccccc3)C#N,5900
CCCc1cc(nc(n1)C#N)c2cccc(c2)C(F)(F)F,41
CCCc1cc(nc(n1)C#N)c2ccc(cc2)C(F)(F)F,1259
CCCc1cc(nc(n1)C#N)c2ccc(Cl)c(c2)C(F)(F)F,28
CCCc1cc(nc(n1)C#N)c2cccc(c2Cl)C(F)(F)F,1047
CCCc1cc(nc(n1)C#N)c2cccc(c2)C3CCCC3,155
CCCc1cc(nc(n1)C#N)c2cccc(c2)S(=O)(=O)C,93
CCCc1cc(nc(n1)C#N)c2cccc(C)c2,1300
CCCc1cc(nc(n1)C#N)c2cccc(c2)C#N,191
CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)N3CCOCC3,4.4
CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3oc(Br)cc3,2.3
CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)c3cc(SC)ccc3Cl,3.6
CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)Cc3cccs3,7.2
CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC2CCCCC2)NC(=O)C3(C)CC3,3.4
FC(F)(F)c1cccc(c1)c2cc(CCCN3CCCCC3)nc(n2)C#N,23
CCC(CC)NCCCc1cc(nc(n1)C#N)c2cccc(c2)C(F)(F)F,47
CC(C)(C)NCCCc1cc(nc(n1)C#N)c2cccc(c2)C(F)(F)F,20
N#Cc1nc(NC2CCCCC2)nc(n1)N3CCNCC3,158
