,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
MolLogP,0.06673018257431916,0.05762161143371621,-0.11367015516092646,0.1409543439937276,-0.04024278582360632,-0.006153868493984126,-0.26807986919470644,-0.0924074646720916,0.10918752813182539,-0.2886488551860235,0.003493902772409141,0.0783734171686902,-0.003534841970270505,-0.04744703382029978,-0.10685291636840542,0.02577877441791801,0.020781616389045614,0.036501470561972636,-0.005429295779306855,-0.09915614945610803
HeavyAtomCount,0.17237820164939222,0.012144757792250882,-0.004796329801692256,0.034970959956269976,0.003234319339271846,-0.022773113362118024,-0.02894556128812331,-0.01315897600418374,0.01983297127407086,0.01726759940102998,-0.002454181818547374,-0.00025678542480465916,0.010751784269313178,-0.005752244978005798,0.005327226174302341,0.0044530368748362005,-0.015520834568669655,0.0014110418687732825,0.032203204273226926,-0.015743872597721566
HeavyAtomMolWt,0.17049513930625793,-0.017895281452331963,0.005379731693986867,0.013561188986631889,-0.05041898050361991,-0.004817455937974837,-0.000521992284277184,-0.03502276670350161,0.04522566486946521,0.007026136531781552,-0.009914525023809713,-0.0197099478210198,0.005487754003420442,0.0060289700501609065,-0.03673954295861441,-0.012650260203333187,0.01352300921883255,-0.006263380809327073,-0.008437631182766768,-0.01987939493465503
HAccept,0.12318089229663257,-0.09686538772891373,-0.024737022578575685,0.02272587930788761,0.051166198715541324,-0.13838813962864277,0.10214895863237439,0.12079509937395863,0.07787833769462403,0.16584306094031875,0.09865197005420484,-0.15041958585946322,-0.05630087573964736,8.309199311685306e-05,-0.03559473406409117,0.02021284110821897,-0.07274169640449078,-0.0029893653796362676,0.021732136574351222,-0.006106528755790902
Heteroatoms,0.14288578974547217,-0.1441949906828096,0.0649760625912541,0.03178931401605156,-0.04360151449557431,0.009640347675652444,0.06537103301083128,-0.0017615354723870685,0.09722656646340308,0.0665810021710796,0.006675211989170128,-0.05596714736175913,-0.00738984115977507,0.044784278248496484,-0.026206176391481956,-0.005703493308043275,-0.05706822770257245,-0.030430894974362244,-0.02265284206173942,0.01429714128551099
HDonor,0.02819136518761825,0.16627204127598724,0.18495213887568002,0.004178736350705092,0.09833607029959412,0.019626021608665032,0.09017032277140602,0.007932787847204026,0.16466926140411992,0.07303607423966016,-0.21813310681209772,-0.050174489996131,-0.13326350541410534,0.11731377560363596,0.0055008995860989784,-0.09306352103914874,-0.0024786039149593472,0.005992517446135465,-0.20117077295042807,0.09365824537588714
MolWt,0.17178778251414872,-0.009210668291996238,0.002310967294736184,0.010035105753221835,-0.035142809165312705,-0.001213971630267062,-0.0016090660197617956,-0.03355630237402965,0.04118357180469376,0.004980705212805581,-0.0036981132423892322,-0.019150735701996838,0.0036170866473140243,0.0028266078836377655,-0.033431653704105876,-0.014849034545123523,0.014165636184981352,-0.0037582007884035887,-0.005323975620157772,-0.02101677067367408
MolMR,0.16814080741225554,0.0688978341555384,-0.03710939865829824,0.012782238871677398,0.005209037447008402,-0.01730071763198861,-0.01702403430778876,-0.019316703336508752,0.011830663147607182,0.007235498557781578,0.021339682325046884,-0.01045378810984221,-0.006880998498070071,-0.0040423290705964635,-0.016311092075919048,-0.008062263118113852,-0.0010957302669728887,0.027734933973725513,0.013243140552684041,-0.02026320080131193
RotableBonds,0.1109157691096001,0.13266559026787772,0.12302615795244642,0.03814106263388825,0.10662354363230464,0.03716002951965401,-0.012053900794755726,0.006734537066347579,0.0700741073508705,-0.021191866590414946,0.07653746210050079,-0.02289028950517419,-0.1090962577845328,-0.1485665522224635,-0.1232773606328148,0.002803240511003148,-0.057718770139432336,-0.02326794396128315,0.08135864783192373,-0.08276911219776287
RingCount,0.12355229243099679,-0.05777087398279135,-0.16472188980709168,-0.03386812474908035,-0.07054488488203398,-0.10262393741510298,-0.05014841587876262,0.09679929169946173,-0.08289925018788913,-0.00017146076859694825,-0.1531879784084896,0.001476314984191457,0.05051546607928113,0.051515286765069,0.04474832893787267,0.04980125258254387,0.039861697182117205,-0.005070764225870633,-0.0701300680950723,0.05117565143129332
