,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
pchembl,0.02073358185068331,-0.1428675397203972,0.07785199138171872,-0.05323066037324269,-0.07240372216770742,-0.20722565022175274,-0.08162516722515925,-0.0006799962980489059,-0.022270740481637036,-0.07795859666953517,-0.09065545580553086,-0.03754559156629248,-0.16768653361963182,-0.14035225078704858,0.2890609058522955,-0.03838478682260034,-0.15727093257485952,-0.08814256204126271,-0.006517536709850009,-0.18181499959737285
MolLogP,0.06674014209000062,0.043694708194686904,-0.11978846852224001,0.14092778553216198,-0.04067214078523901,-0.00841108908353011,-0.26766439256292873,-0.09162866609771599,0.10633642664071248,-0.2885457612276106,0.023284856693766467,0.07644856250806238,0.018504757582150512,-0.02512034055779858,-0.08083233922095259,-0.08269165564469438,0.01564141942867837,0.0033656699516452053,-0.04986521666647156,-0.059758405728978066
HeavyAtomCount,0.17238774539349844,0.011360998897764443,-0.0061664489591187754,0.03493195753463889,0.0028487884043377765,-0.023073694998399286,-0.02858117622006849,-0.013841779793848345,0.01996292500933763,0.016589844289512504,-0.0045240178779510296,-0.00014889612747266343,-0.013459301108074466,-0.003984161418735713,0.002561905752690108,-0.0019742235560849617,-0.005940832228210083,-0.011364904981885061,-0.00949913770127213,0.025767287929812734
HeavyAtomMolWt,0.17049907870837927,-0.01750418810438248,0.007243236520211693,0.013483099166193727,-0.050171555694834405,-0.0036055716450686948,7.84634906504933e-05,-0.03601402746911559,0.045046350188757224,0.0060095604081057685,-0.008116479037825669,-0.020385629869345986,0.004795210253820875,0.014476306476405396,-0.025021175116141048,-0.01873662765177487,-0.01169903890071887,0.018727473244672506,-0.004944859165065766,-0.019314993764106156
HAccept,0.12317179172488897,-0.09880172304332754,-0.013186492712054743,0.02283394751077583,0.05151025969352402,-0.13538927843949838,0.10466867556121934,0.11371260251306935,0.08246563972048059,0.1743737500875471,0.09630474336403388,-0.14311292253850483,0.02990529346142387,-0.029200713927744315,0.035781530632379877,-0.0639535473948787,-0.03949538649974885,-0.049659793700929725,0.005771662567618053,0.026168573304024778
Heteroatoms,0.14287205183117505,-0.1357017816528269,0.08113014230892006,0.031802915823263556,-0.04226436434027364,0.012609872753465312,0.0662536874601573,-0.004425760908165186,0.09812571056108547,0.06648621207212904,0.005765937262132873,-0.05514560745556259,0.015524461225371267,0.039357119777370775,0.010582848467477174,-0.02831942423666457,-0.0400315235938241,-0.029514715822657113,0.05077611624499062,0.007338157233708939
HDonor,0.02821837139817452,0.18664318267626534,0.164750106205592,0.004051173311461487,0.09524689912279763,0.016002849028448313,0.08848018592916873,0.010556500490088975,0.16278857914460637,0.05812389753449587,-0.21269120397393687,-0.06508391982647306,0.17249886904579892,0.08218479542983227,0.029323080653176153,0.06218271903324821,-0.04273876479435466,-0.011594832817413955,0.07273750199074946,-0.16003183322914813
MolWt,0.17179378311974827,-0.009126425092918833,0.00326843643936503,0.009972905476391347,-0.03495536968062973,-0.0003141555907466287,-0.0011418674552474833,-0.03441068932330669,0.04096459455511953,0.004182122732393795,-0.002620555017521148,-0.019363684246031257,0.003830356002213736,0.009655913741290476,-0.022137579090126744,-0.016200357735661267,-0.013267249418727233,0.018903435947756418,-0.010044995776004702,-0.019664153449886985
MolMR,0.16815920708752763,0.0640693672376195,-0.04473477407508181,0.01273662892183941,0.004712975951909365,-0.017518159482367096,-0.01667390287870285,-0.020184196399766586,0.011868902623473052,0.00813690717659099,0.020278755773892376,-0.008987340240489151,0.00428278783362282,-0.0054168821711276655,-0.0053776018888291865,-0.009598665586595077,-0.007383909742146838,-0.009702280817883102,-0.035914548477769224,-0.00999820701071203
RotableBonds,0.11094563664129019,0.1461584142318238,0.10725388861773022,0.03804027073352417,0.10411478019171166,0.03268028217756255,-0.013781491396985729,0.007957859479659199,0.06910178627621316,-0.021726859169384438,0.062336500426551394,-0.016464532500762283,0.039224827879816015,-0.18384549859192423,-0.013349711161791067,-0.14861348755484458,-0.10372871458006225,0.00534936044010826,-0.07225431537206374,-0.012239012283682155
